"","county","year","inflow"
"199","Prowers",2010,2089
"200","Prowers",2015,2432
"201","Pueblo",2000,27213
"202","Pueblo",2005,28937
"203","Pueblo",2010,23990
"204","Pueblo",2015,28394
"205","Rio Blanco",2000,2173
"206","Rio Blanco",2005,2114
"207","Rio Blanco",2010,2113
"208","Rio Blanco",2015,1974
"209","Rio Grande",2000,4205
"210","Rio Grande",2005,4020
"211","Rio Grande",2010,2745
"212","Rio Grande",2015,3337
"213","Routt",2000,7610
"214","Routt",2005,7217
"215","Routt",2010,6022
"216","Routt",2015,7210
"217","Saguache",2000,1001
"218","Saguache",2005,1111
"219","Saguache",2010,874
"220","Saguache",2015,1404
"221","San Juan",2000,295
"222","San Juan",2005,283
"223","San Juan",2010,215
"224","San Juan",2015,104
"225","San Miguel",2000,3134
"226","San Miguel",2005,2845
"227","San Miguel",2010,1972
"228","San Miguel",2015,2689
"229","Sedgwick",2000,793
"230","Sedgwick",2005,672
"231","Sedgwick",2010,486
"232","Sedgwick",2015,602
"233","Summit",2000,13501
"234","Summit",2005,12220
"235","Summit",2010,9133
"236","Summit",2015,11637
"237","Teller",2000,11276
"238","Teller",2005,10235
"239","Teller",2010,7432
"240","Teller",2015,9405
"241","Washington",2000,1163
"242","Washington",2005,1073
"243","Washington",2010,980
"244","Washington",2015,1112
"245","Weld",2000,56329
"246","Weld",2005,76012
"247","Weld",2010,46196
"248","Weld",2015,87438
"249","Yuma",2000,2808
"250","Yuma",2005,2299
"251","Yuma",2010,1507
"252","Yuma",2015,2121
