"","county","inflow","year"
"204","Delta",1863,1999
"205","Denver",45778,1999
"206","Dolores",149,1999
"207","Douglas",23757,1999
"208","Eagle",4026,1999
"209","Elbert",2056,1999
"210","El Paso",41450,1999
"211","Fremont",2556,1999
"212","Garfield",3399,1999
"213","Gilpin",1145,1999
"214","Grand",1195,1999
"215","Gunnison",1112,1999
"216","Hinsdale",59,1999
"217","Huerfano",472,1999
"218","Jackson",124,1999
"219","Jefferson",39704,1999
"220","Kiowa",89,1999
"221","Kit Carson",508,1999
"222","Lake",540,1999
"223","La Plata",2817,1999
"224","Larimer",17223,1999
"225","Las Animas",833,1999
"226","Lincoln",329,1999
"227","Logan",1082,1999
"228","Mesa",6717,1999
"229","Mineral",59,1999
"230","Moffat",947,1999
"231","Montezuma",1401,1999
"232","Montrose",2123,1999
"233","Morgan",1505,1999
"234","Otero",939,1999
"235","Ouray",326,1999
"236","Park",1849,1999
"237","Phillips",229,1999
"238","Pitkin",1094,1999
"239","Prowers",755,1999
"240","Pueblo",5788,1999
"241","Rio Blanco",434,1999
"242","Rio Grande",770,1999
"243","Routt",1667,1999
"244","Saguache",182,1999
"245","San Juan",62,1999
"246","San Miguel",569,1999
"247","Sedgwick",159,1999
"248","Summit",2866,1999
"249","Teller",2308,1999
"250","Washington",174,1999
"251","Weld",12460,1999
"252","Yuma",549,1999
"253","Adams",36065,2000
"254","Alamosa",963,2000
"255","Arapahoe",48847,2000
"256","Archuleta",935,2000
"257","Baca",180,2000
"258","Bent",325,2000
"259","Boulder",24228,2000
"260","Chaffee",1192,2000
"261","Cheyenne",102,2000
"262","Clear Creek",1838,2000
"263","Conejos",313,2000
"264","Costilla",240,2000
"265","Crowley",326,2000
"266","Custer",334,2000
"267","Delta",1603,2000
"268","Denver",49034,2000
"269","Dolores",147,2000
"270","Douglas",25073,2000
"271","Eagle",3889,2000
"272","Elbert",1947,2000
"273","El Paso",39927,2000
"274","Fremont",2622,2000
"275","Garfield",3364,2000
"276","Gilpin",1037,2000
"277","Grand",1063,2000
"278","Gunnison",1031,2000
"279","Hinsdale",59,2000
"280","Huerfano",404,2000
"281","Jackson",123,2000
"282","Jefferson",37874,2000
"283","Kiowa",81,2000
"284","Kit Carson",386,2000
"285","Lake",541,2000
"286","La Plata",3070,2000
"287","Larimer",17159,2000
"288","Las Animas",909,2000
"289","Lincoln",329,2000
"290","Logan",1351,2000
"291","Mesa",6660,2000
"292","Mineral",66,2000
"293","Moffat",781,2000
"294","Montezuma",1390,2000
"295","Montrose",2046,2000
"296","Morgan",1461,2000
"297","Otero",961,2000
"298","Ouray",376,2000
"299","Park",1970,2000
"300","Phillips",216,2000
"301","Pitkin",945,2000
"302","Prowers",601,2000
"303","Pueblo",5547,2000
"304","Rio Blanco",460,2000
"305","Rio Grande",837,2000
"306","Routt",1605,2000
"307","Saguache",210,2000
"308","San Juan",59,2000
"309","San Miguel",661,2000
"310","Sedgwick",176,2000
"311","Summit",2665,2000
"312","Teller",2206,2000
"313","Washington",250,2000
"314","Weld",13894,2000
"315","Yuma",520,2000
"316","Adams",35301,2001
"317","Alamosa",999,2001
"318","Arapahoe",49948,2001
"319","Archuleta",903,2001
"320","Baca",213,2001
"321","Bent",266,2001
"322","Boulder",23865,2001
"323","Chaffee",1143,2001
"324","Cheyenne",126,2001
"325","Clear Creek",2004,2001
"326","Conejos",342,2001
"327","Costilla",162,2001
"328","Crowley",265,2001
"329","Custer",356,2001
"330","Delta",1639,2001
"331","Denver",48736,2001
"332","Dolores",136,2001
"333","Douglas",26629,2001
"334","Eagle",4024,2001
"335","Elbert",2085,2001
"336","El Paso",45023,2001
"337","Fremont",2666,2001
"338","Garfield",3276,2001
"339","Gilpin",886,2001
"340","Grand",1080,2001
"341","Gunnison",1071,2001
"342","Hinsdale",68,2001
"343","Huerfano",447,2001
"344","Jackson",83,2001
"345","Jefferson",37521,2001
"346","Kiowa",82,2001
"347","Kit Carson",350,2001
"348","Lake",512,2001
"349","La Plata",3086,2001
"350","Larimer",18484,2001
"351","Las Animas",794,2001
"352","Lincoln",243,2001
"353","Logan",1302,2001
"354","Mesa",6433,2001
"355","Mineral",71,2001
"356","Moffat",762,2001
"357","Montezuma",1324,2001
"358","Montrose",2160,2001
"359","Morgan",1396,2001
"360","Otero",894,2001
"361","Ouray",271,2001
"362","Park",1818,2001
"363","Phillips",210,2001
"364","Pitkin",1020,2001
"365","Prowers",593,2001
"366","Pueblo",6189,2001
"367","Rio Blanco",410,2001
"368","Rio Grande",752,2001
"369","Routt",1558,2001
"370","Saguache",204,2001
"371","San Juan",71,2001
"372","San Miguel",684,2001
"373","Sedgwick",140,2001
"374","Summit",2807,2001
"375","Teller",2339,2001
"376","Washington",209,2001
"377","Weld",15858,2001
"378","Yuma",524,2001
"379","Adams",37016,2002
"380","Alamosa",991,2002
"381","Arapahoe",48112,2002
"382","Archuleta",997,2002
"383","Baca",165,2002
"384","Bent",306,2002
"385","Boulder",20804,2002
"386","Chaffee",1221,2002
"387","Cheyenne",110,2002
"388","Clear Creek",1842,2002
"389","Conejos",291,2002
"390","Costilla",224,2002
"391","Crowley",242,2002
"392","Custer",328,2002
"393","Delta",1884,2002
"394","Denver",45163,2002
"395","Dolores",145,2002
"396","Douglas",24668,2002
"397","Eagle",3923,2002
"398","Elbert",1911,2002
"399","El Paso",40805,2002
"400","Fremont",2722,2002
"401","Garfield",3308,2002
"402","Gilpin",868,2002
"403","Grand",1141,2002
"404","Gunnison",1069,2002
"405","Hinsdale",49,2002
"406","Huerfano",478,2002
"407","Jackson",104,2002
"408","Jefferson",38527,2002
"409","Kiowa",92,2002
"410","Kit Carson",416,2002
"411","Lake",436,2002
"412","La Plata",3036,2002
"413","Larimer",17445,2002
"414","Las Animas",863,2002
"415","Lincoln",254,2002
"416","Logan",1101,2002
"417","Mesa",6887,2002
"418","Mineral",73,2002
"419","Moffat",953,2002
"420","Montezuma",1441,2002
"421","Montrose",2349,2002
"422","Morgan",1413,2002
"423","Otero",822,2002
"424","Ouray",325,2002
"425","Park",1853,2002
"426","Phillips",311,2002
"427","Pitkin",1034,2002
"428","Prowers",583,2002
"429","Pueblo",6436,2002
"430","Rio Blanco",453,2002
"431","Rio Grande",807,2002
"432","Routt",1431,2002
"433","Saguache",201,2002
"434","San Juan",55,2002
"435","San Miguel",624,2002
"436","Sedgwick",179,2002
"437","Summit",2525,2002
"438","Teller",2161,2002
"439","Washington",249,2002
"440","Weld",16276,2002
"441","Yuma",448,2002
"442","Adams",32789,2003
"443","Alamosa",898,2003
"444","Arapahoe",44921,2003
"445","Archuleta",855,2003
"446","Baca",114,2003
"447","Bent",273,2003
"448","Boulder",16901,2003
"449","Broomfield",5294,2003
"450","Chaffee",1056,2003
"451","Cheyenne",88,2003
"452","Clear Creek",834,2003
"453","Conejos",265,2003
"454","Costilla",169,2003
"455","Crowley",224,2003
"456","Custer",350,2003
"457","Delta",1671,2003
"458","Denver",43896,2003
"459","Dolores",122,2003
"460","Douglas",23934,2003
"461","Eagle",3651,2003
"462","Elbert",1464,2003
"463","El Paso",36952,2003
"464","Fremont",2298,2003
"465","Garfield",2736,2003
"466","Gilpin",485,2003
"467","Grand",1063,2003
"468","Gunnison",973,2003
"469","Hinsdale",60,2003
"470","Huerfano",320,2003
"471","Jackson",101,2003
"472","Jefferson",33769,2003
"473","Kiowa",69,2003
"474","Kit Carson",333,2003
"475","Lake",380,2003
"476","La Plata",2704,2003
"477","Larimer",15770,2003
"478","Las Animas",810,2003
"479","Lincoln",241,2003
"480","Logan",947,2003
"481","Mesa",6671,2003
"482","Mineral",54,2003
"483","Moffat",805,2003
"484","Montezuma",1409,2003
"485","Montrose",1995,2003
"486","Morgan",1357,2003
"487","Otero",779,2003
"488","Ouray",324,2003
"489","Park",1628,2003
"490","Phillips",220,2003
"491","Pitkin",1003,2003
"492","Prowers",516,2003
"493","Pueblo",5574,2003
"494","Rio Blanco",394,2003
"495","Rio Grande",925,2003
"496","Routt",1421,2003
"497","Saguache",210,2003
"498","San Juan",53,2003
"499","San Miguel",512,2003
"500","Sedgwick",134,2003
"501","Summit",2428,2003
"502","Teller",1964,2003
"503","Washington",207,2003
"504","Weld",14113,2003
"505","Yuma",434,2003
"506","Adams",31941,2004
"507","Alamosa",860,2004
"508","Arapahoe",43066,2004
"509","Archuleta",807,2004
"510","Baca",154,2004
"511","Bent",277,2004
"512","Boulder",16938,2004
"513","Broomfield",4966,2004
"514","Chaffee",1075,2004
"515","Cheyenne",100,2004
"516","Clear Creek",769,2004
"517","Conejos",282,2004
"518","Costilla",175,2004
"519","Crowley",255,2004
"520","Custer",328,2004
"521","Delta",1721,2004
"522","Denver",42668,2004
