"","county","inflow","year"
"1018","Adams",41759,2013
"1019","Alamosa",982,2013
"1020","Arapahoe",56708,2013
"1021","Archuleta",892,2013
"1022","Baca",165,2013
"1023","Bent",150,2013
"1024","Boulder",20089,2013
"1025","Broomfield",11843,2013
"1026","Chaffee",1234,2013
"1027","Cheyenne",132,2013
"1028","Clear Creek",728,2013
"1029","Conejos",308,2013
"1030","Costilla",178,2013
"1031","Crowley",158,2013
"1032","Custer",387,2013
"1033","Delta",1581,2013
"1034","Denver",61579,2013
"1035","Dolores",85,2013
"1036","Douglas",28814,2013
"1037","Eagle",3623,2013
"1038","Elbert",2324,2013
"1039","El Paso",50624,2013
"1040","Fremont",2155,2013
"1041","Garfield",3412,2013
"1042","Gilpin",562,2013
"1043","Grand",1105,2013
"1044","Gunnison",967,2013
"1045","Hinsdale",42,2013
"1046","Huerfano",386,2013
"1047","Jackson",107,2013
"1048","Jefferson",40542,2013
"1049","Kiowa",51,2013
"1050","Kit Carson",383,2013
"1051","Lake",575,2013
"1052","La Plata",3262,2013
"1053","Larimer",20123,2013
"1054","Las Animas",581,2013
"1055","Lincoln",326,2013
"1056","Logan",915,2013
"1057","Mesa",7049,2013
"1058","Mineral",51,2013
"1059","Moffat",708,2013
"1060","Montezuma",1473,2013
"1061","Montrose",2309,2013
"1062","Morgan",1482,2013
"1063","Otero",780,2013
"1064","Ouray",392,2013
"1065","Park",1471,2013
"1066","Phillips",320,2013
"1067","Pitkin",1310,2013
"1068","Prowers",482,2013
"1069","Pueblo",6311,2013
"1070","Rio Blanco",504,2013
"1071","Rio Grande",801,2013
"1072","Routt",1724,2013
"1073","Saguache",346,2013
"1074","San Juan",27,2013
"1075","San Miguel",587,2013
"1076","Sedgwick",111,2013
"1077","Summit",2544,2013
"1078","Teller",2323,2013
"1079","Washington",301,2013
"1080","Weld",19466,2013
"1081","Yuma",579,2013
"1082","Adams",39429,2014
"1083","Alamosa",940,2014
"1084","Arapahoe",52357,2014
"1085","Archuleta",759,2014
"1086","Baca",55,2014
"1087","Bent",163,2014
"1088","Boulder",18596,2014
"1089","Broomfield",7671,2014
"1090","Chaffee",1064,2014
"1091","Cheyenne",45,2014
"1092","Clear Creek",799,2014
"1093","Conejos",271,2014
"1094","Costilla",136,2014
"1095","Crowley",117,2014
"1096","Custer",329,2014
"1097","Delta",1461,2014
"1098","Denver",60525,2014
"1099","Dolores",38,2014
"1100","Douglas",26747,2014
"1101","Eagle",3207,2014
"1102","Elbert",2170,2014
"1103","El Paso",49886,2014
"1104","Fremont",2177,2014
"1105","Garfield",3427,2014
"1106","Gilpin",560,2014
"1107","Grand",1114,2014
"1108","Gunnison",1025,2014
"1109","Hinsdale",NA,2014
"1110","Huerfano",360,2014
"1111","Jackson",50,2014
"1112","Jefferson",39765,2014
"1113","Kiowa",NA,2014
"1114","Kit Carson",342,2014
"1115","Lake",512,2014
"1116","La Plata",3097,2014
"1117","Larimer",20329,2014
"1118","Las Animas",702,2014
"1119","Lincoln",262,2014
"1120","Logan",886,2014
"1121","Mesa",6562,2014
"1122","Mineral",NA,2014
"1123","Moffat",709,2014
"1124","Montezuma",1409,2014
"1125","Montrose",1965,2014
"1126","Morgan",1321,2014
"1127","Otero",739,2014
"1128","Ouray",329,2014
"1129","Park",1370,2014
"1130","Phillips",160,2014
"1131","Pitkin",1310,2014
"1132","Prowers",427,2014
"1133","Pueblo",6214,2014
"1134","Rio Blanco",340,2014
"1135","Rio Grande",567,2014
"1136","Routt",1508,2014
"1137","Saguache",265,2014
"1138","San Juan",NA,2014
"1139","San Miguel",562,2014
"1140","Sedgwick",111,2014
"1141","Summit",2363,2014
"1142","Teller",1992,2014
"1143","Washington",186,2014
"1144","Weld",20306,2014
"1145","Yuma",431,2014
"1146","Adams",30946,2015
"1147","Alamosa",715,2015
"1148","Arapahoe",39702,2015
"1149","Archuleta",613,2015
"1150","Baca",59,2015
"1151","Bent",143,2015
"1152","Boulder",14253,2015
"1153","Broomfield",5882,2015
"1154","Chaffee",859,2015
"1155","Cheyenne",NA,2015
"1156","Clear Creek",538,2015
"1157","Conejos",130,2015
"1158","Costilla",103,2015
"1159","Crowley",80,2015
"1160","Custer",225,2015
"1161","Delta",1179,2015
"1162","Denver",47394,2015
"1163","Dolores",NA,2015
"1164","Douglas",17387,2015
"1165","Eagle",2804,2015
"1166","Elbert",1588,2015
"1167","El Paso",35159,2015
"1168","Fremont",1600,2015
"1169","Garfield",2570,2015
"1170","Gilpin",288,2015
"1171","Grand",891,2015
"1172","Gunnison",805,2015
"1173","Hinsdale",NA,2015
"1174","Huerfano",242,2015
"1175","Jackson",46,2015
"1176","Jefferson",29400,2015
"1177","Kiowa",NA,2015
"1178","Kit Carson",234,2015
"1179","Lake",460,2015
"1180","La Plata",2379,2015
"1181","Larimer",14824,2015
"1182","Las Animas",520,2015
"1183","Lincoln",142,2015
"1184","Logan",707,2015
"1185","Mesa",4683,2015
"1186","Mineral",NA,2015
"1187","Moffat",513,2015
"1188","Montezuma",1164,2015
"1189","Montrose",1684,2015
"1190","Morgan",1085,2015
"1191","Otero",596,2015
"1192","Ouray",287,2015
"1193","Park",970,2015
"1194","Phillips",115,2015
"1195","Pitkin",994,2015
"1196","Prowers",359,2015
"1197","Pueblo",4767,2015
"1198","Rio Blanco",214,2015
"1199","Rio Grande",480,2015
"1200","Routt",1269,2015
"1201","Saguache",199,2015
"1202","San Juan",NA,2015
"1203","San Miguel",504,2015
"1204","Sedgwick",103,2015
"1205","Summit",2112,2015
"1206","Teller",1405,2015
"1207","Washington",169,2015
"1208","Weld",14910,2015
"1209","Yuma",214,2015
"1210","Adams",41780,2016
"1211","Alamosa",1054,2016
"1212","Arapahoe",55283,2016
"1213","Archuleta",1072,2016
"1214","Baca",59,2016
"1215","Bent",149,2016
"1216","Boulder",20451,2016
"1217","Broomfield",8737,2016
"1218","Chaffee",1384,2016
"1219","Cheyenne",NA,2016
"1220","Clear Creek",781,2016
"1221","Conejos",272,2016
"1222","Costilla",185,2016
"1223","Crowley",121,2016
"1224","Custer",472,2016
"1225","Delta",1899,2016
"1226","Denver",63545,2016
"1227","Dolores",98,2016
"1228","Douglas",28058,2016
"1229","Eagle",3537,2016
"1230","Elbert",2246,2016
"1231","El Paso",53811,2016
"1232","Fremont",2519,2016
"1233","Garfield",3535,2016
"1234","Gilpin",544,2016
"1235","Grand",1248,2016
"1236","Gunnison",1026,2016
"1237","Hinsdale",NA,2016
"1238","Huerfano",447,2016
"1239","Jackson",67,2016
"1240","Jefferson",43910,2016
"1241","Kiowa",NA,2016
"1242","Kit Carson",348,2016
"1243","Lake",620,2016
"1244","La Plata",3172,2016
"1245","Larimer",21046,2016
"1246","Las Animas",774,2016
"1247","Lincoln",256,2016
"1248","Logan",879,2016
"1249","Mesa",6779,2016
"1250","Mineral",NA,2016
"1251","Moffat",874,2016
"1252","Montezuma",1655,2016
"1253","Montrose",2397,2016
"1254","Morgan",1370,2016
"1255","Otero",838,2016
"1256","Ouray",471,2016
"1257","Park",1730,2016
"1258","Phillips",125,2016
"1259","Pitkin",1205,2016
"1260","Prowers",568,2016
"1261","Pueblo",6775,2016
"1262","Rio Blanco",318,2016
"1263","Rio Grande",758,2016
"1264","Routt",1734,2016
"1265","Saguache",340,2016
"1266","San Juan",NA,2016
"1267","San Miguel",595,2016
"1268","Sedgwick",132,2016
"1269","Summit",2513,2016
"1270","Teller",2439,2016
"1271","Washington",192,2016
"1272","Weld",23491,2016
"1273","Yuma",432,2016
"1274","Adams",53283,2017
"1275","Alamosa",1190,2017
"1276","Arapahoe",72961,2017
"1277","Archuleta",1515,2017
"1278","Baca",99,2017
"1279","Bent",295,2017
"1280","Boulder",27109,2017
"1281","Broomfield",12203,2017
"1282","Chaffee",1953,2017
"1283","Cheyenne",87,2017
"1284","Clear Creek",1204,2017
"1285","Conejos",398,2017
"1286","Costilla",302,2017
"1287","Crowley",204,2017
"1288","Custer",726,2017
"1289","Delta",2729,2017
"1290","Denver",79505,2017
"1291","Dolores",108,2017
"1292","Douglas",41209,2017
"1293","Eagle",4102,2017
"1294","Elbert",3558,2017
"1295","El Paso",75938,2017
"1296","Fremont",3579,2017
"1297","Garfield",4145,2017
"1298","Gilpin",690,2017
"1299","Grand",1643,2017
"1300","Gunnison",1470,2017
"1301","Hinsdale",46,2017
"1302","Huerfano",629,2017
"1303","Jackson",81,2017
"1304","Jefferson",57913,2017
"1305","Kiowa",60,2017
"1306","Kit Carson",478,2017
"1307","Lake",775,2017
"1308","La Plata",4323,2017
"1309","Larimer",30174,2017
"1310","Las Animas",1075,2017
"1311","Lincoln",375,2017
"1312","Logan",1218,2017
"1313","Mesa",10054,2017
"1314","Mineral",NA,2017
"1315","Moffat",989,2017
"1316","Montezuma",1844,2017
"1317","Montrose",3457,2017
"1318","Morgan",1975,2017
"1319","Otero",1108,2017
"1320","Ouray",575,2017
"1321","Park",2524,2017
"1322","Phillips",268,2017
"1323","Pitkin",1435,2017
"1324","Prowers",655,2017
"1325","Pueblo",9336,2017
"1326","Rio Blanco",494,2017
"1327","Rio Grande",983,2017
"1328","Routt",2261,2017
"1329","Saguache",540,2017
"1330","San Juan",35,2017
"1331","San Miguel",685,2017
"1332","Sedgwick",129,2017
"1333","Summit",2968,2017
"1334","Teller",3825,2017
"1335","Washington",232,2017
"1336","Weld",32177,2017
"1337","Yuma",527,2017
"1338","Adams",40653,2018
"1339","Alamosa",1086,2018
"1340","Arapahoe",55417,2018
"1341","Archuleta",1084,2018
"1342","Baca",116,2018
"1343","Bent",221,2018
"1344","Boulder",20542,2018
"1345","Broomfield",8617,2018
"1346","Chaffee",1527,2018
"1347","Cheyenne",NA,2018
"1348","Clear Creek",772,2018
"1349","Conejos",264,2018
"1350","Costilla",125,2018
"1351","Crowley",168,2018
"1352","Custer",447,2018
"1353","Delta",1739,2018
"1354","Denver",64883,2018
"1355","Dolores",77,2018
"1356","Douglas",30602,2018
"1357","Eagle",3297,2018
"1358","Elbert",2475,2018
"1359","El Paso",55497,2018
"1360","Fremont",2519,2018
"1361","Garfield",3397,2018
"1362","Gilpin",564,2018
"1363","Grand",1312,2018
"1364","Gunnison",1081,2018
"1365","Hinsdale",NA,2018
"1366","Huerfano",547,2018
"1367","Jackson",42,2018
"1368","Jefferson",43552,2018
"1369","Kiowa",67,2018
"1370","Kit Carson",407,2018
"1371","Lake",671,2018
"1372","La Plata",3256,2018
"1373","Larimer",22795,2018
"1374","Las Animas",769,2018
"1375","Lincoln",204,2018
"1376","Logan",925,2018
"1377","Mesa",7497,2018
"1378","Mineral",41,2018
"1379","Moffat",780,2018
"1380","Montezuma",1498,2018
"1381","Montrose",2518,2018
"1382","Morgan",1620,2018
"1383","Otero",736,2018
"1384","Ouray",487,2018
"1385","Park",1737,2018
"1386","Phillips",180,2018
"1387","Pitkin",1200,2018
"1388","Prowers",439,2018
"1389","Pueblo",7144,2018
"1390","Rio Blanco",341,2018
"1391","Rio Grande",739,2018
"1392","Routt",1693,2018
"1393","Saguache",470,2018
"1394","San Juan",33,2018
"1395","San Miguel",577,2018
"1396","Sedgwick",120,2018
"1397","Summit",2479,2018
"1398","Teller",2455,2018
"1399","Washington",213,2018
"1400","Weld",23347,2018
"1401","Yuma",412,2018
"1402","Adams",38770,2019
"1403","Alamosa",870,2019
"1404","Arapahoe",52702,2019
"1405","Archuleta",979,2019
"1406","Baca",47,2019
"1407","Bent",166,2019
"1408","Boulder",20115,2019
"1409","Broomfield",8815,2019
"1410","Chaffee",1420,2019
"1411","Cheyenne",51,2019
"1412","Clear Creek",800,2019
"1413","Conejos",266,2019
"1414","Costilla",153,2019
"1415","Crowley",143,2019
"1416","Custer",456,2019
"1417","Delta",1708,2019
"1418","Denver",63416,2019
"1419","Dolores",51,2019
"1420","Douglas",29905,2019
"1421","Eagle",3145,2019
"1422","Elbert",2342,2019
"1423","El Paso",51251,2019
"1424","Fremont",2403,2019
"1425","Garfield",3074,2019
"1426","Gilpin",447,2019
"1427","Grand",1148,2019
"1428","Gunnison",1025,2019
"1429","Huerfano",436,2019
"1430","Jackson",51,2019
"1431","Jefferson",41703,2019
"1432","Kit Carson",268,2019
"1433","Lake",561,2019
"1434","La Plata",3075,2019
"1435","Larimer",21185,2019
"1436","Las Animas",738,2019
"1437","Lincoln",247,2019
"1438","Logan",950,2019
"1439","Mesa",6599,2019
"1440","Moffat",685,2019
"1441","Montezuma",1334,2019
"1442","Montrose",2286,2019
"1443","Morgan",1475,2019
"1444","Otero",706,2019
"1445","Ouray",433,2019
"1446","Park",1500,2019
"1447","Phillips",175,2019
"1448","Pitkin",1150,2019
"1449","Prowers",410,2019
"1450","Pueblo",6846,2019
"1451","Rio Blanco",364,2019
"1452","Rio Grande",724,2019
"1453","Routt",1462,2019
"1454","Saguache",345,2019
"1455","San Juan",25,2019
"1456","San Miguel",521,2019
"1457","Sedgwick",59,2019
"1458","Summit",2330,2019
"1459","Teller",2358,2019
"1460","Washington",206,2019
"1461","Weld",22908,2019
"1462","Yuma",350,2019
"1463","Adams",41271,2020
"1464","Alamosa",1017,2020
"1465","Arapahoe",56468,2020
"1466","Archuleta",1234,2020
"1467","Baca",58,2020
"1468","Bent",210,2020
"1469","Boulder",21242,2020
"1470","Broomfield",9408,2020
"1471","Chaffee",1831,2020
"1472","Cheyenne",54,2020
"1473","Clear Creek",932,2020
"1474","Conejos",294,2020
"1475","Costilla",208,2020
"1476","Crowley",162,2020
"1477","Custer",581,2020
"1478","Delta",1889,2020
"1479","Denver",65780,2020
"1480","Dolores",152,2020
"1481","Douglas",34654,2020
"1482","Eagle",3487,2020
"1483","Elbert",3013,2020
"1484","El Paso",57246,2020
"1485","Fremont",2879,2020
"1486","Garfield",3568,2020
"1487","Gilpin",528,2020
"1488","Grand",1370,2020
"1489","Gunnison",1227,2020
"1490","Hinsdale",34,2020
"1491","Huerfano",517,2020
"1492","Jackson",45,2020
"1493","Jefferson",45108,2020
"1494","Kiowa",59,2020
"1495","Kit Carson",320,2020
"1496","Lake",600,2020
"1497","La Plata",3703,2020
"1498","Larimer",23912,2020
"1499","Las Animas",864,2020
"1500","Lincoln",249,2020
"1501","Logan",1077,2020
"1502","Mesa",7632,2020
"1503","Mineral",32,2020
"1504","Moffat",827,2020
"1505","Montezuma",1541,2020
"1506","Montrose",2737,2020
"1507","Morgan",1512,2020
"1508","Otero",752,2020
"1509","Ouray",593,2020
"1510","Park",1926,2020
"1511","Phillips",213,2020
"1512","Pitkin",1419,2020
"1513","Prowers",496,2020
"1514","Pueblo",7860,2020
"1515","Rio Blanco",332,2020
"1516","Rio Grande",774,2020
"1517","Routt",2041,2020
"1518","Saguache",456,2020
"1519","San Juan",37,2020
"1520","San Miguel",586,2020
"1521","Sedgwick",136,2020
"1522","Summit",2833,2020
"1523","Teller",2884,2020
"1524","Washington",287,2020
"1525","Weld",26012,2020
"1526","Yuma",452,2020
"1527","Adams",40080,2021
"1528","Alamosa",957,2021
"1529","Arapahoe",54121,2021
"1530","Archuleta",1249,2021
"1531","Baca",93,2021
"1532","Bent",287,2021
"1533","Boulder",20491,2021
"1534","Broomfield",8744,2021
"1535","Chaffee",1803,2021
"1536","Cheyenne",43,2021
"1537","Clear Creek",807,2021
"1538","Conejos",329,2021
"1539","Costilla",322,2021
"1540","Crowley",292,2021
"1541","Custer",644,2021
"1542","Delta",2119,2021
"1543","Denver",62958,2021
"1544","Dolores",100,2021
"1545","Douglas",32772,2021
"1546","Eagle",3441,2021
"1547","Elbert",2805,2021
"1548","El Paso",54492,2021
"1549","Fremont",3039,2021
"1550","Garfield",3334,2021
"1551","Gilpin",490,2021
"1552","Grand",1225,2021
"1553","Gunnison",1140,2021
"1554","Huerfano",601,2021
"1555","Jackson",42,2021
"1556","Jefferson",42388,2021
"1557","Kiowa",55,2021
"1558","Kit Carson",366,2021
"1559","Lake",533,2021
"1560","La Plata",3549,2021
"1561","Larimer",24139,2021
"1562","Las Animas",799,2021
"1563","Lincoln",283,2021
"1564","Logan",1038,2021
"1565","Mesa",7243,2021
"1566","Moffat",825,2021
"1567","Montezuma",1593,2021
"1568","Montrose",2819,2021
"1569","Morgan",1464,2021
"1570","Otero",792,2021
"1571","Ouray",470,2021
"1572","Park",1731,2021
"1573","Phillips",203,2021
"1574","Pitkin",1297,2021
"1575","Prowers",459,2021
"1576","Pueblo",7615,2021
"1577","Rio Blanco",411,2021
"1578","Rio Grande",710,2021
"1579","Routt",1801,2021
"1580","Saguache",389,2021
"1581","San Juan",43,2021
"1582","San Miguel",603,2021
"1583","Sedgwick",58,2021
"1584","Summit",2474,2021
"1585","Teller",2455,2021
"1586","Washington",226,2021
"1587","Weld",26428,2021
"1588","Yuma",353,2021
