"","county","year","Total Population of Area, in Thousands","Public Supply total population served, in thousands","Public Supply total self-supplied withdrawals, fresh, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d"
"360","Pueblo",2015,163.591,160.02,41.29,0.22,3.571,"9.940","264.70"
"361","Rio Blanco",1985,6.02,5.04,1.26,0.09,0.98,"0.930",NA
"362","Rio Blanco",1990,5.97,4.6,1.37,0.1,1.37,"0.910",NA
"363","Rio Blanco",1995,6.47,4.99,1.84,0.12,1.48,"1.040",NA
"364","Rio Blanco",2000,5.99,4.48,1.25,0.18,1.51,NA,NA
"365","Rio Blanco",2005,5.973,4.542,1.22,0.35,1.431,"1.120","227.02"
"366","Rio Blanco",2010,6.666,4.666,1.9,0.53,2,"1.100","246.64"
"367","Rio Blanco",2015,6.571,4.72,1.89,0.42,1.851,"1.070","135.29"
"368","Rio Grande",1985,11.46,6.14,1.55,0.4,5.32,"1.330",NA
"369","Rio Grande",1990,10.77,6.36,1.38,0.32,4.41,"1.210",NA
"370","Rio Grande",1995,11.26,6.65,4.3,0.35,4.61,"1.150",NA
"371","Rio Grande",2000,12.41,6.53,1.07,0.71,5.88,NA,NA
"372","Rio Grande",2005,12.227,7.026,1.4,0.82,5.201,"1.110","535.00"
"373","Rio Grande",2010,11.982,6.879,1.07,0.62,5.103,"0.840","577.09"
"374","Rio Grande",2015,11.543,6.92,1.2,0.52,4.623,"0.780","556.89"
"375","Routt",1985,14.67,12.26,3.31,0.19,2.41,"2.240",NA
"376","Routt",1990,14.09,11.33,2.43,0.21,2.76,"1.810",NA
"377","Routt",1995,16.71,13.44,4.27,0.24,3.27,"2.360",NA
"378","Routt",2000,19.69,13.01,3.97,0.8,6.68,NA,NA
"379","Routt",2005,21.313,17.073,4.55,0.78,4.24,"3.150","188.20"
"380","Routt",2010,23.509,20.08,3.33,0.34,3.429,"2.240","191.22"
"381","Routt",2015,24.13,22.64,2.88,0.12,1.49,"1.810","171.19"
"382","Saguache",1985,3.95,2.57,0.62,0.1,1.38,"0.500",NA
"383","Saguache",1990,4.62,3.48,0.57,0.09,1.14,"0.500",NA
"384","Saguache",1995,5.51,4.16,1.8,0.11,1.35,"0.490",NA
"385","Saguache",2000,5.92,3.8,0.62,0.25,2.12,NA,NA
"386","Saguache",2005,7.031,3.935,0.78,0.49,3.096,"0.620","377.59"
"387","Saguache",2010,6.108,3.632,0.91,0.24,2.476,"0.730","269.36"
"388","Saguache",2015,6.251,4.71,0.69,0.26,1.541,"0.780","366.19"
"389","San Juan",1985,0.79,0.79,0.28,0,0,"0.180",NA
"390","San Juan",1990,0.75,0.73,0.28,0,0.02,"0.190",NA
"391","San Juan",1995,0.55,0.49,0.28,0.01,0.06,"0.150",NA
"392","San Juan",2000,0.56,0.51,0.16,0.01,0.05,NA,NA
"393","San Juan",2005,0.577,0.41,0.06,0.02,0.167,"0.050","0.00"
"394","San Juan",2010,0.699,0.637,0.2,0.01,0.062,"0.070","0.00"
"395","San Juan",2015,0.701,0.64,0.24,0.01,0.061,"0.080","0.00"
"396","San Miguel",1985,3.51,3.11,1.12,0.04,0.4,"0.810",NA
"397","San Miguel",1990,3.65,3.42,0.59,0.02,0.23,"0.370",NA
"398","San Miguel",1995,4.93,4.62,0.97,0.02,0.31,"0.470",NA
"399","San Miguel",2000,6.59,5.39,0.64,0.15,1.2,NA,NA
"400","San Miguel",2005,7.213,5.654,0.75,0.14,1.559,"0.510","25.48"
"401","San Miguel",2010,7.359,4.978,0.78,0.26,2.381,"0.540","36.71"
"402","San Miguel",2015,7.879,5.13,0.68,0.27,2.749,"0.510","47.02"
"403","Sedgwick",1985,3.12,2.24,0.59,0.07,0.88,"0.480",NA
"404","Sedgwick",1990,2.69,1.85,0.56,0.07,0.84,"0.450",NA
"405","Sedgwick",1995,2.61,1.84,0.47,0.07,0.77,"0.370",NA
"406","Sedgwick",2000,2.75,1.84,0.29,0.11,0.91,NA,NA
"407","Sedgwick",2005,2.529,1.982,0.63,0.15,0.547,"0.530","79.73"
"408","Sedgwick",2010,2.379,1.982,0.53,0.08,0.397,"0.410","60.65"
"409","Sedgwick",2015,2.399,1.96,0.69,0.09,0.439,"0.410","73.59"
"410","Summit",1985,13.67,13.43,4.14,0.02,0.24,"3.090",NA
"411","Summit",1990,12.88,12.16,3.28,0.06,0.72,"2.500",NA
"412","Summit",1995,17.2,14.6,5.07,0.2,2.6,"3.030",NA
"413","Summit",2000,23.55,14.54,3.42,1.08,9.01,NA,NA
"414","Summit",2005,24.892,23.253,6.06,0.35,1.639,"5.010","58.94"
"415","Summit",2010,27.994,24.697,7.32,0.71,3.297,"5.320","60.19"
"416","Summit",2015,30.257,26.95,6.63,0.76,3.307,"6.170","49.67"
"417","Teller",1985,10.63,7.68,1.39,0.24,2.95,"1.080",NA
"418","Teller",1990,12.47,9.68,2.03,0.34,2.79,"1.430",NA
"419","Teller",1995,17.48,13.52,3.25,0.47,3.96,"1.720",NA
"420","Teller",2000,20.56,13.67,3.07,0.82,6.89,NA,NA
"421","Teller",2005,21.918,19.457,1.32,0.15,2.461,"1.160","3.47"
"422","Teller",2010,23.35,12.282,2.91,0.77,11.068,"0.920","3.89"
"423","Teller",2015,23.385,17.17,6.17,0.4,6.215,"1.100","2.26"
"424","Washington",1985,5.35,2.4,0.5,0.23,2.95,"0.420",NA
"425","Washington",1990,4.81,2.3,0.52,0.19,2.51,"0.430",NA
"426","Washington",1995,4.69,2.25,0.51,0.19,2.44,"0.430",NA
"427","Washington",2000,4.93,2.22,0.34,0.32,2.71,NA,NA
"428","Washington",2005,4.633,2.53,0.69,0.28,2.103,"0.330","49.95"
"429","Washington",2010,4.814,2.314,0.52,0.27,2.5,"0.250","70.62"
"430","Washington",2015,4.864,2.34,0.35,0.28,2.524,"0.260","46.14"
"431","Weld",1985,136.58,110.62,34.78,1.96,25.96,"22.000",NA
"432","Weld",1990,131.82,109.8,31.47,1.66,22.02,"21.590",NA
"433","Weld",1995,148.01,118.96,32.04,2.17,29.05,"24.590",NA
"434","Weld",2000,180.94,158.74,36.87,2.66,22.2,NA,NA
"435","Weld",2005,228.943,203.886,24.42,2.28,25.057,"18.590","402.56"
"436","Weld",2010,252.825,209.675,28.95,4.38,43.15,"24.310","415.77"
"437","Weld",2015,285.174,283.06,28.3,0.2,2.114,"26.840","364.65"
"438","Yuma",1985,9.96,5.56,1.35,0.33,4.4,"1.140",NA
"439","Yuma",1990,8.95,5.41,2.77,0.27,3.54,"2.210",NA
"440","Yuma",1995,9.26,5.61,2.4,0.27,3.65,"2.030",NA
"441","Yuma",2000,9.84,5.62,0.83,0.51,4.22,NA,NA
"442","Yuma",2005,9.789,6.065,2.07,0.83,3.724,"1.360","343.88"
"443","Yuma",2010,10.043,6.191,1.31,0.53,3.852,"0.860","211.80"
"444","Yuma",2015,10.146,6.35,1.42,0.53,3.796,"0.890","322.78"
